1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
96   :  HappyGameOwO        , 积分： 480.85  (单日浮动：  0.00), 赛季kpm: 4.2, 游玩时长(小时): 6.1
97   :  Shuai_B_otto        , 积分： 480.50  (单日浮动： -1.34), 赛季kpm: 1.7, 游玩时长(小时): 42.8
98   :  cunkuan17kuai       , 积分： 480.46  (单日浮动： 14.97), 赛季kpm: 2.4, 游玩时长(小时): 7.3
99   :  Blenco_             , 积分： 478.54  (单日浮动： -1.45), 赛季kpm: 1.3, 游玩时长(小时): 35.1
100  :  EdisonCKTnT         , 积分： 477.93  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 30.6
101  :  J0ngleuR            , 积分： 477.81  (单日浮动： 12.33), 赛季kpm: 1.8, 游玩时长(小时): 11.1
102  :  -Ao1Nukou-v-        , 积分： 477.21  (单日浮动： 10.67), 赛季kpm: 3.2, 游玩时长(小时): 6.3
103  :  alex125874          , 积分： 476.25  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 10.2
104  :  Sunflow3            , 积分： 476.06  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 15.0
105  :  -Jus4t1na-          , 积分： 475.08  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 16.0
106  :  Cooky_Yummy         , 积分： 474.53  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 57.8
107  :  TnoLB               , 积分： 473.86  (单日浮动： 85.68), 赛季kpm: 3.4, 游玩时长(小时): 5.6
108  :  zhengpe             , 积分： 473.05  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 13.1
109  :  Htikzw              , 积分： 466.50  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 11.8
110  :  XiaoQingwaO_o       , 积分： 466.11  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 12.3
111  :  paopaorou           , 积分： 464.69  (单日浮动： 16.63), 赛季kpm: 1.6, 游玩时长(小时): 15.2
112  :  ZhuboG_G            , 积分： 464.48  (单日浮动：  5.64), 赛季kpm: 2.0, 游玩时长(小时): 12.4
113  :  Goldenflashhh       , 积分： 461.88  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 7.6
114  :  Scorpioniiiixx      , 积分： 460.78  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 12.2
115  :  LaoFuZl             , 积分： 460.04  (单日浮动： -6.38), 赛季kpm: 0.5, 游玩时长(小时): 46.9
116  :  -91-Player1-        , 积分： 459.37  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 22.4
117  :  Zeenee2             , 积分： 459.31  (单日浮动：  2.26), 赛季kpm: 2.2, 游玩时长(小时): 8.9
118  :  NaKeLuLui           , 积分： 458.66  (单日浮动： 13.24), 赛季kpm: 1.4, 游玩时长(小时): 54.2
119  :  BePromiseOfLove     , 积分： 458.48  (单日浮动： 65.37), 赛季kpm: 2.8, 游玩时长(小时): 5.2
120  :  FamiliesWhoKnow     , 积分： 456.48  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 9.6
121  :  5990v0              , 积分： 454.98  (单日浮动：  0.00), 赛季kpm: 3.0, 游玩时长(小时): 6.2
122  :  Aground83_-         , 积分： 454.42  (单日浮动： -3.84), 赛季kpm: 1.3, 游玩时长(小时): 25.9
123  :  soyaaao             , 积分： 453.25  (单日浮动： 34.26), 赛季kpm: 2.7, 游玩时长(小时): 7.6
