1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
219  :  snowman101555       , 积分： 370.86  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 42.5
220  :  d28035c6e58df65c    , 积分： 369.98  (单日浮动：  9.11), 赛季kpm: 0.8, 游玩时长(小时): 34.8
221  :  Yu-ZhuanJ           , 积分： 368.50  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 4.4
222  :  love-Muelsyse-      , 积分： 367.71  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 11.8
223  :  AAAAAAKaii-         , 积分： 367.36  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 4.9
224  :  temp775858          , 积分： 367.33  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 4.0
225  :  shjcdfg             , 积分： 366.57  (单日浮动： 14.21), 赛季kpm: 1.0, 游玩时长(小时): 11.1
226  :  cotp5202            , 积分： 365.20  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 8.0
227  :  rudius731           , 积分： 364.86  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 21.3
228  :  kTkOvO              , 积分： 363.85  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 4.0
229  :  BK0717_OW           , 积分： 362.87  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 6.1
230  :  DuoXl               , 积分： 362.58  (单日浮动： 18.20), 赛季kpm: 1.5, 游玩时长(小时): 8.1
231  :  -Dre3a7m_OvO-       , 积分： 362.57  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 5.5
232  :  LzhEat2much         , 积分： 360.50  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 9.0
233  :  dawdih              , 积分： 360.39  (单日浮动：  3.73), 赛季kpm: 0.8, 游玩时长(小时): 44.1
234  :  k0uk1-Jeffr1y       , 积分： 359.53  (单日浮动：  7.76), 赛季kpm: 3.3, 游玩时长(小时): 4.0
235  :  wkwpr               , 积分： 359.46  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 21.8
236  :  modefree            , 积分： 359.18  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 18.0
237  :  -FLC-sooty          , 积分： 359.07  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 6.3
238  :  MAANSHANZHIYIE      , 积分： 359.03  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 25.1
239  :  nicholas07h5        , 积分： 358.94  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 20.4
240  :  Nandezoo            , 积分： 358.22  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 5.1
241  :  PlayGenshiImpact    , 积分： 357.62  (单日浮动： 80.88), 赛季kpm: 1.7, 游玩时长(小时): 6.7
242  :  qazd_s              , 积分： 357.32  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 7.1
243  :  EsetKonki           , 积分： 357.15  (单日浮动： 22.49), 赛季kpm: 1.6, 游玩时长(小时): 6.4
244  :  BeMySweetArisa      , 积分： 356.98  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 4.4
245  :  2321ow0             , 积分： 356.16  (单日浮动：113.82), 赛季kpm: 3.3, 游玩时长(小时): 3.1
246  :  allson017           , 积分： 354.54  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 45.6
247  :  keinfd555           , 积分： 353.63  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 6.3
248  :  MR_CrJYLove         , 积分： 353.31  (单日浮动：  4.76), 赛季kpm: 1.2, 游玩时长(小时): 9.0
249  :  Littlehao810        , 积分： 352.37  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 4.2
250  :  Whynotplay383       , 积分： 351.85  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 6.0
251  :  Skyblock_QNQ        , 积分： 351.67  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 7.0
252  :  Guabi_S1Quanjia     , 积分： 351.63  (单日浮动： 43.07), 赛季kpm: 1.8, 游玩时长(小时): 7.0
253  :  forgivenL           , 积分： 350.99  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 7.2
254  :  AkaiSAchi           , 积分： 350.92  (单日浮动：  0.00), 赛季kpm: 2.6, 游玩时长(小时): 4.2
255  :  IsKokooo            , 积分： 349.84  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 6.2
256  :  i_SoaK4ge-3yP1nk    , 积分： 349.58  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 4.4
257  :  poggiohealer        , 积分： 348.95  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 15.0
258  :  Redundenep          , 积分： 347.95  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 6.9
259  :  ImGenshinAce        , 积分： 347.72  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 7.0
260  :  3310221995081809    , 积分： 347.61  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 18.9
261  :  KUBAYAXI-6          , 积分： 346.36  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 6.4
262  :  HanFeiDingZhen      , 积分： 345.72  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 5.7
263  :  xuanzhuandem4       , 积分： 345.30  (单日浮动：  5.39), 赛季kpm: 1.8, 游玩时长(小时): 6.9
264  :  _yeegand            , 积分： 345.29  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 4.1
265  :  Perfect_Neeet       , 积分： 343.67  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 5.1
266  :  Meow01234           , 积分： 343.66  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 10.6
267  :  B0rages             , 积分： 343.50  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 3.6
268  :  wowanyuanshen123    , 积分： 343.39  (单日浮动： 10.37), 赛季kpm: 1.2, 游玩时长(小时): 9.6
269  :  MomoChiyoda_o       , 积分： 343.07  (单日浮动：  0.00), 赛季kpm: 3.0, 游玩时长(小时): 3.0
270  :  PiXieL1K-98         , 积分： 342.22  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 10.2
271  :  Kicseeth            , 积分： 339.75  (单日浮动： -0.94), 赛季kpm: 0.7, 游玩时长(小时): 18.4
272  :  SUNWEJIE            , 积分： 339.68  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 36.3
273  :  guaimiryan          , 积分： 339.61  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 5.0
274  :  Revvvve             , 积分： 339.53  (单日浮动：  0.00), 赛季kpm: 3.2, 游玩时长(小时): 3.0
275  :  horyung             , 积分： 339.50  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 8.6
276  :  kongjun23           , 积分： 339.21  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 28.9
277  :  amisa_jpn           , 积分： 338.55  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 12.0
278  :  4thventricle        , 积分： 338.43  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 12.9
279  :  StanO814            , 积分： 338.42  (单日浮动： 57.90), 赛季kpm: 3.1, 游玩时长(小时): 3.0
280  :  ForceHeroes         , 积分： 338.34  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 50.2
281  :  QingHe_YQ           , 积分： 337.94  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 6.5
282  :  1D0Not              , 积分： 336.99  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 11.6
283  :  WhoCanEndure        , 积分： 336.73  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 3.8
284  :  AC-jzjSTI           , 积分： 336.66  (单日浮动： 13.64), 赛季kpm: 0.7, 游玩时长(小时): 29.8
285  :  Charxon             , 积分： 336.36  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 17.5
286  :  YuyuQi-X            , 积分： 335.89  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 4.0
287  :  LLOXVYE777          , 积分： 335.69  (单日浮动： 85.80), 赛季kpm: 2.5, 游玩时长(小时): 4.1
288  :  knnkh               , 积分： 335.65  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 15.9
289  :  xingwei686          , 积分： 335.41  (单日浮动：  8.27), 赛季kpm: 1.0, 游玩时长(小时): 11.1
290  :  KOREAshou           , 积分： 334.91  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 8.5
291  :  Alexer_Kenway       , 积分： 334.78  (单日浮动：  0.00), 赛季kpm: 2.6, 游玩时长(小时): 3.6
292  :  dustrre             , 积分： 333.95  (单日浮动：  4.58), 赛季kpm: 1.5, 游玩时长(小时): 19.8
293  :  9_9mugen            , 积分： 333.93  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 9.0
294  :  wairitanainai       , 积分： 333.33  (单日浮动： 15.54), 赛季kpm: 0.6, 游玩时长(小时): 22.3
295  :  _Vio1et717_         , 积分： 332.40  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 4.2
296  :  -Thatsal1-          , 积分： 331.98  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 5.6
297  :  qwqazxzxz           , 积分： 331.57  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 5.5
298  :  aX1n_ACG            , 积分： 330.18  (单日浮动：  0.00), 赛季kpm: 3.3, 游玩时长(小时): 3.2
299  :  IL0v3uIH4t3u        , 积分： 329.68  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 5.4
300  :  xiang_guaa          , 积分： 329.51  (单日浮动：  0.00), 赛季kpm: 3.5, 游玩时长(小时): 3.2
301  :  chenjh233333        , 积分： 328.49  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 4.9
302  :  XUZUMIN             , 积分： 327.59  (单日浮动：  0.71), 赛季kpm: 2.3, 游玩时长(小时): 3.9
303  :  ssggaaq             , 积分： 327.18  (单日浮动： -0.28), 赛季kpm: 0.5, 游玩时长(小时): 35.6
304  :  Sauuul_g00dman      , 积分： 326.98  (单日浮动：  0.48), 赛季kpm: 0.5, 游玩时长(小时): 34.6
305  :  CJ_sunny6           , 积分： 326.93  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 11.5
306  :  Andrew_LIVE         , 积分： 326.91  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 12.8
307  :  jiarenmen           , 积分： 326.14  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 24.5
308  :  Liudianbanbanban    , 积分： 325.17  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 4.5
309  :  ylnwlppyw           , 积分： 325.16  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 13.2
310  :  hpsimida            , 积分： 324.83  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 4.8
311  :  fyx32               , 积分： 324.75  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 6.0
312  :  jmx888888           , 积分： 324.20  (单日浮动： 10.83), 赛季kpm: 0.7, 游玩时长(小时): 16.5
313  :  bug2851             , 积分： 323.90  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 5.3
314  :  abchKhiKS5aSQg      , 积分： 323.01  (单日浮动： -1.88), 赛季kpm: 0.6, 游玩时长(小时): 53.2
315  :  emoxiaoyou          , 积分： 322.23  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 7.8
316  :  5445912             , 积分： 321.97  (单日浮动：  6.53), 赛季kpm: 2.0, 游玩时长(小时): 6.1
317  :  AGloomyMusician     , 积分： 321.56  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 3.4
318  :  uhuuuun             , 积分： 321.42  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 69.3
319  :  BF1942XP            , 积分： 320.93  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 67.8
320  :  EthelaQr            , 积分： 320.71  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 3.3
321  :  torororot           , 积分： 320.61  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 6.4
322  :  qiguangwei          , 积分： 320.23  (单日浮动：  4.09), 赛季kpm: 0.8, 游玩时长(小时): 11.9
323  :  RockstarGApTexA6    , 积分： 319.60  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 13.1
324  :  HYere11             , 积分： 317.90  (单日浮动： 16.12), 赛季kpm: 1.5, 游玩时长(小时): 5.0
325  :  nc_fory             , 积分： 317.81  (单日浮动： 43.20), 赛季kpm: 0.6, 游玩时长(小时): 12.0
326  :  Rkdasnvb            , 积分： 317.69  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 21.6
327  :  Liga_04             , 积分： 316.95  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 4.3
328  :  ColdSkinOvO         , 积分： 316.05  (单日浮动：  0.00), 赛季kpm: 3.0, 游玩时长(小时): 2.6
329  :  JoLyneNA            , 积分： 315.99  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 7.0
330  :  Bufogargarrizans    , 积分： 315.98  (单日浮动： 21.04), 赛季kpm: 0.6, 游玩时长(小时): 21.3
331  :  BIgSimplevvv        , 积分： 315.86  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 3.7
332  :  S0ftW2ke            , 积分： 315.57  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 3.3
333  :  YUANSHENPLAYER1     , 积分： 314.89  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 10.0
334  :  -BlackPinK-J1soo    , 积分： 314.21  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 8.7
335  :  xycccasd            , 积分： 312.57  (单日浮动：  0.56), 赛季kpm: 0.6, 游玩时长(小时): 36.0
336  :  gfwgyh              , 积分： 312.46  (单日浮动：  3.88), 赛季kpm: 0.4, 游玩时长(小时): 29.7
337  :  A_Nt-NetEase357     , 积分： 312.39  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 5.2
338  :  fusheng123321666    , 积分： 312.06  (单日浮动： 32.10), 赛季kpm: 1.7, 游玩时长(小时): 4.5
339  :  Dumpling-_Iy        , 积分： 312.01  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 3.0
340  :  JeanBartQAQ         , 积分： 311.93  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 2.8
341  :  IreneOwO_           , 积分： 311.78  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 6.1
342  :  Ambivalent-Ray      , 积分： 311.65  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 8.9
343  :  Mikasakym           , 积分： 311.11  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 7.3
344  :  YouYZiiii           , 积分： 311.03  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 5.9
345  :  NMML-Chu98          , 积分： 310.99  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 12.8
346  :  fgd14441212         , 积分： 309.67  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 57.4
347  :  Not_Hima_Person     , 积分： 309.63  (单日浮动：  1.63), 赛季kpm: 0.4, 游玩时长(小时): 11.2
348  :  Xxuwugui            , 积分： 309.35  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 13.6
349  :  LAPHROAIG_40        , 积分： 308.79  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 10.6
350  :  43110800            , 积分： 308.10  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 11.4
351  :  nenebaka            , 积分： 307.31  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 6.1
352  :  Sai1ph_             , 积分： 306.71  (单日浮动：  0.00), 赛季kpm: 2.8, 游玩时长(小时): 2.6
353  :  Giaovon             , 积分： 306.16  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 20.9
354  :  NoirePRPR           , 积分： 305.83  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 2.7
355  :  Mola_poiy           , 积分： 304.87  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 10.0
356  :  kunkunISrap         , 积分： 304.85  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 13.6
357  :  ylgfps              , 积分： 304.84  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 4.0
358  :  shulin102           , 积分： 304.16  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 6.0
359  :  wode78haochang      , 积分： 304.11  (单日浮动： 35.19), 赛季kpm: 1.4, 游玩时长(小时): 5.6
360  :  mantouchong         , 积分： 304.09  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 23.0
361  :  Givemeaflower       , 积分： 304.02  (单日浮动： 16.24), 赛季kpm: 1.4, 游玩时长(小时): 5.1
362  :  Manlivingalone      , 积分： 303.57  (单日浮动： 20.09), 赛季kpm: 2.3, 游玩时长(小时): 3.5
363  :  sourceche           , 积分： 303.49  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 15.9
364  :  Top_Yuuu            , 积分： 303.45  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 4.0
365  :  JW9871X             , 积分： 303.41  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 3.1
366  :  SDTZ-legendYEM-W    , 积分： 303.17  (单日浮动： 87.17), 赛季kpm: 2.1, 游玩时长(小时): 3.4
367  :  Hoboream            , 积分： 302.68  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 4.0
368  :  HowtoPlayFPSwell    , 积分： 302.56  (单日浮动：  0.00), 赛季kpm: 2.6, 游玩时长(小时): 3.3
369  :  TianTianzzzzzz      , 积分： 302.44  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 12.6
370  :  337eb58da3837a97    , 积分： 302.35  (单日浮动：  2.08), 赛季kpm: 0.4, 游玩时长(小时): 28.4
371  :  shangzhimoyang      , 积分： 302.13  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 8.7
372  :  tangyuan190517      , 积分： 301.39  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 5.4
373  :  lm4766fc1           , 积分： 301.18  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 16.7
374  :  WhySoHungryyy       , 积分： 300.29  (单日浮动： 26.43), 赛季kpm: 1.9, 游玩时长(小时): 4.2
375  :  TheMIKUUU           , 积分： 300.23  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 3.5
376  :  YUKIO_Kamiluo       , 积分： 299.90  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 4.8
377  :  hj2517505           , 积分： 299.71  (单日浮动：  4.65), 赛季kpm: 0.5, 游玩时长(小时): 20.4
378  :  YIGENFRENCHFRIES    , 积分： 299.19  (单日浮动：102.37), 赛季kpm: 1.5, 游玩时长(小时): 7.5
379  :  Borrbord            , 积分： 298.85  (单日浮动：  1.73), 赛季kpm: 0.9, 游玩时长(小时): 6.8
380  :  Avcnuil             , 积分： 298.22  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 7.2
381  :  MOYANMK14           , 积分： 298.20  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 8.5
382  :  MikanSlime3         , 积分： 298.19  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 6.3
383  :  lpy020116           , 积分： 297.83  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 23.6
384  :  VertinMo-OvO        , 积分： 297.46  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 5.0
385  :  alanhock125181      , 积分： 297.27  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 10.4
386  :  Jasper_19xx         , 积分： 297.01  (单日浮动：  4.95), 赛季kpm: 0.9, 游玩时长(小时): 11.5
387  :  M1916Man-UMASKSP    , 积分： 296.92  (单日浮动：154.23), 赛季kpm: 2.4, 游玩时长(小时): 2.6
388  :  dashuaibi1221       , 积分： 296.76  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 7.6
389  :  daibaoluo           , 积分： 296.55  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 3.2
390  :  e9mglufyf6ab        , 积分： 295.96  (单日浮动：  1.30), 赛季kpm: 0.7, 游玩时长(小时): 39.5
